date,Abortion,China,Economy,Fbi Trump Raid,Jan 6,Pelosi,Russia,Shooting,Student Debt,Twitter / Musk,UK Politics,US Politics,Ukraine
2022-06-28,14.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-06-29,15.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-06-30,16.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-07-01,17.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-07-02,18.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-07-03,19.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,0.0,5.0,0.0,20.0,54.0
2022-07-04,19.0,0.0,0.0,0.0,7.0,0.0,0.0,21.0,0.0,5.0,0.0,20.0,54.0
2022-07-05,19.0,0.0,0.0,0.0,7.0,0.0,0.0,22.0,0.0,5.0,0.0,20.0,54.0
2022-07-06,19.0,0.0,0.0,0.0,7.0,0.0,0.0,22.0,0.0,5.0,1.0,20.0,54.0
2022-07-07,19.0,0.0,0.0,0.0,7.0,0.0,0.0,22.0,0.0,5.0,2.0,20.0,54.0
2022-07-08,20.0,0.0,0.0,0.0,7.0,0.0,0.0,22.0,0.0,5.0,2.0,20.0,54.0
2022-07-09,20.0,0.0,0.0,0.0,7.0,0.0,0.0,22.0,0.0,5.0,2.0,21.0,54.0
2022-07-10,20.0,0.0,0.0,0.0,7.0,0.0,0.0,22.0,0.0,5.0,2.0,22.0,54.0
2022-07-11,20.0,0.0,0.0,0.0,7.0,0.0,0.0,22.0,0.0,5.0,2.0,23.0,54.0
2022-07-12,20.0,0.0,0.0,0.0,8.0,0.0,0.0,22.0,0.0,5.0,2.0,23.0,54.0
2022-07-13,20.0,0.0,1.0,0.0,8.0,0.0,0.0,22.0,0.0,5.0,2.0,23.0,54.0
2022-07-14,20.0,0.0,1.0,0.0,8.0,0.0,0.0,22.0,0.0,5.0,2.0,24.0,54.0
2022-07-15,20.0,0.0,1.0,0.0,8.0,0.0,0.0,22.0,0.0,5.0,2.0,25.0,54.0
2022-07-16,21.0,0.0,1.0,0.0,8.0,0.0,0.0,22.0,0.0,5.0,2.0,25.0,54.0
2022-07-17,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,25.0,54.0
2022-07-18,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,26.0,54.0
2022-07-19,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,27.0,54.0
2022-07-20,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,28.0,54.0
2022-07-21,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,29.0,54.0
2022-07-22,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,30.0,54.0
2022-07-23,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,31.0,54.0
2022-07-24,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,32.0,54.0
2022-07-25,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,33.0,54.0
2022-07-26,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,34.0,54.0
2022-07-27,21.0,0.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,35.0,54.0
2022-07-28,21.0,0.0,2.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,35.0,54.0
2022-07-29,21.0,0.0,3.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,35.0,54.0
2022-07-30,21.0,0.0,3.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-07-31,21.0,0.0,4.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-01,21.0,0.0,5.0,0.0,8.0,0.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-02,21.0,0.0,5.0,0.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-03,22.0,0.0,5.0,0.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-04,22.0,0.0,6.0,0.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-05,22.0,0.0,7.0,0.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-06,22.0,0.0,8.0,0.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-07,22.0,0.0,9.0,0.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-08,22.0,0.0,9.0,1.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-09,22.0,0.0,9.0,2.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-10,22.0,0.0,9.0,3.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-11,22.0,0.0,9.0,4.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-12,22.0,0.0,9.0,5.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-13,22.0,0.0,9.0,6.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-14,22.0,0.0,9.0,7.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-15,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,36.0,54.0
2022-08-16,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,37.0,54.0
2022-08-17,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,38.0,54.0
2022-08-18,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,39.0,54.0
2022-08-19,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,40.0,54.0
2022-08-20,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,41.0,54.0
2022-08-21,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,42.0,54.0
2022-08-22,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,0.0,5.0,2.0,43.0,54.0
2022-08-23,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,0.0,6.0,2.0,43.0,54.0
2022-08-24,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,1.0,6.0,2.0,43.0,54.0
2022-08-25,22.0,0.0,9.0,8.0,8.0,1.0,0.0,23.0,2.0,6.0,2.0,43.0,54.0
2022-08-26,22.0,0.0,9.0,9.0,8.0,1.0,0.0,23.0,2.0,6.0,2.0,43.0,54.0
2022-08-27,22.0,0.0,9.0,9.0,8.0,1.0,0.0,23.0,3.0,6.0,2.0,43.0,54.0
2022-08-28,22.0,0.0,9.0,9.0,8.0,1.0,0.0,23.0,4.0,6.0,2.0,43.0,54.0
2022-08-29,22.0,0.0,9.0,9.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,43.0,54.0
2022-08-30,22.0,0.0,9.0,10.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,43.0,54.0
2022-08-31,22.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,43.0,54.0
2022-09-01,22.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,44.0,54.0
2022-09-02,22.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,45.0,54.0
2022-09-03,22.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,46.0,54.0
2022-09-04,22.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,47.0,54.0
2022-09-05,23.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,47.0,54.0
2022-09-06,23.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,48.0,54.0
2022-09-07,23.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,2.0,49.0,54.0
2022-09-08,23.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,3.0,49.0,54.0
2022-09-09,23.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,49.0,54.0
2022-09-10,23.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,49.0,55.0
2022-09-11,23.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,49.0,56.0
2022-09-12,23.0,0.0,9.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,49.0,57.0
2022-09-13,23.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,49.0,57.0
2022-09-14,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,49.0,57.0
2022-09-15,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,50.0,57.0
2022-09-16,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,51.0,57.0
2022-09-17,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,52.0,57.0
2022-09-18,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,4.0,53.0,57.0
2022-09-19,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,53.0,57.0
2022-09-20,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,54.0,57.0
2022-09-21,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,55.0,57.0
2022-09-22,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,56.0,57.0
2022-09-23,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,57.0,57.0
2022-09-24,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,58.0,57.0
2022-09-25,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,59.0,57.0
2022-09-26,24.0,0.0,10.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,60.0,57.0
2022-09-27,24.0,0.0,11.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,60.0,57.0
2022-09-28,24.0,0.0,11.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,61.0,57.0
2022-09-29,24.0,0.0,11.0,11.0,8.0,1.0,0.0,23.0,5.0,6.0,5.0,62.0,57.0
2022-09-30,24.0,0.0,11.0,11.0,8.0,1.0,1.0,23.0,5.0,6.0,5.0,62.0,57.0
2022-10-01,24.0,0.0,11.0,11.0,8.0,1.0,2.0,23.0,5.0,6.0,5.0,62.0,57.0
2022-10-02,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,62.0,57.0
2022-10-03,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,63.0,57.0
2022-10-04,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,64.0,57.0
2022-10-05,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,65.0,57.0
2022-10-06,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,66.0,57.0
2022-10-07,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,67.0,57.0
2022-10-08,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,68.0,57.0
2022-10-09,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,68.0,58.0
2022-10-10,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,68.0,59.0
2022-10-11,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,69.0,59.0
2022-10-12,24.0,0.0,11.0,11.0,8.0,1.0,3.0,23.0,5.0,6.0,5.0,70.0,59.0
2022-10-13,24.0,0.0,11.0,11.0,9.0,1.0,3.0,23.0,5.0,6.0,5.0,70.0,59.0
2022-10-14,24.0,0.0,11.0,11.0,9.0,1.0,3.0,23.0,5.0,6.0,6.0,70.0,59.0
2022-10-15,24.0,1.0,11.0,11.0,9.0,1.0,3.0,23.0,5.0,6.0,6.0,70.0,59.0
2022-10-16,24.0,1.0,11.0,11.0,9.0,1.0,3.0,23.0,5.0,6.0,6.0,71.0,59.0
